komentar,timestamp,platform,sentimen,clean
"Lu tonton video nya yg bener jgn lu skip, dia nge review bukan dari yg ada duluan tapi dari yg banyak orang pake (4 teratas)",4 tahun yang lalu,youtube,netral,lu tonton video nya yg bener jgn lu skip nge review bukan yg ada duluan tapi yg banyak orang pake teratas
Ewalet apa bg,5 tahun yang lalu,youtube,netral,ewalet apa bg
 @topengteduh5625  dompet digital,4 tahun yang lalu,youtube,netral,dompet digital
Wallet diisi secukupnya sja. Daripada bawa dompet klo jatuh susah.  Saya setahun sekali dompet hilang. 😂,1 tahun yang lalu,youtube,netral,wallet diisi secukupnya sja daripada bawa dompet klo jatuh susah setahun sekali dompet hilang 😂
Gk tau q pake link ma ovo,5 tahun yang lalu,youtube,netral,gk tau q pake link ma ovo
Bisa cuy,5 tahun yang lalu,youtube,netral,bisa cuy
Apakah OVO Bisa Transfer Ke Bank BRI Cabang Luar Negeri???,5 tahun yang lalu,youtube,netral,apakah ovo bisa transfer bank bri cabang luar negeri
Saat ini link aja.yg baguss cuman pinjaan nyaa gak ada yg bener haoax semua  setelah klik gak bisaa,5 tahun yang lalu,youtube,netral,saat link ajayg baguss cuman pinjaan nyaa gak ada yg bener haoax semua setelah klik gak bisaa
"Pi adalah mata uang digital baru yang dikembangkan oleh Stanford PhD, dengan lebih dari 8 juta anggota di seluruh dunia. Untuk mengklaim Pi Anda, ikuti tautan ini https://minepi.com/ibennuriska dan gunakan nama pengguna saya (ibennuriska) sebagai kode undangan Anda.",5 tahun yang lalu,youtube,netral,pi adalah mata uang digital baru dikembangkan oleh stanford phd lebih juta anggota seluruh dunia mengklaim pi anda ikuti tautan gunakan nama pengguna ibennuriska sebagai kode undangan anda
"Kak tolong info nyah dong klw mengendapkan . Uang di salldo gopay sampai 5/ 10 juta itu amana nggk sih
Atw kita nabung di gopay apakah se aman kita nabung di bank??

Terima kasih mohon info nyah karna blom semua orang mengetahui nyah",5 tahun yang lalu,youtube,positif,kak tolong info nyah dong klw mengendapkan uang salldo gopay sampai juta amana nggk sih atw kita nabung gopay apakah se aman kita nabung bank terima kasih mohon info nyah karna blom semua orang mengetahui nyah
Saya transfer dari ovo ke bank kena biaya layanan 2500 katanya bebas biaya layanan,5 tahun yang lalu,youtube,netral,transfer ovo bank kena biaya layanan katanya bebas biaya layanan
Kak tanya: sy mau usaha konter agar konter sy bisa melayani pembayaran org org yg  belanja onlin seperti shopee & sejenisnya aplikasi yg mana yg bisa digunakan...terimaksih,5 tahun yang lalu,youtube,netral,kak tanya sy mau usaha konter agar konter sy bisa melayani pembayaran org org yg belanja onlin seperti shopee sejenisnya aplikasi yg mana yg bisa digunakanterimaksih
Aku sebagai pengguna gopay  turut bangga karna gopay gk ada kelemahan nya wkwk...,5 tahun yang lalu,youtube,netral,sebagai pengguna gopay turut bangga karna gopay gk ada kelemahan nya wkwk
Wah mantap penjelasannya,5 tahun yang lalu,youtube,positif,wah mantap penjelasannya
Yg mana nih yg bisa isi saldo nanggung ga bulat seperti 174rb?,5 tahun yang lalu,youtube,netral,yg mana nih yg bisa isi saldo nanggung ga bulat seperti rb
Y,5 tahun yang lalu,youtube,netral,y
"Beli pulsa  100 klewat dana udah 2 hari ga masuk ,😏",5 tahun yang lalu,youtube,netral,beli pulsa klewat dana udah hari ga masuk 😏
"Apa gw salah denger ya, si mbaknya mau beli kereta api pake link aja",5 tahun yang lalu,youtube,netral,apa gw salah denger ya si mbaknya mau beli kereta api pake link aja
Linkaja sama dana sekarang yg best!!,5 tahun yang lalu,youtube,netral,linkaja sama dana sekarang yg best
GOPAY,5 tahun yang lalu,youtube,netral,gopay
Dompet digital ada potongan perbulan kaya rekening bank engga mba?,5 tahun yang lalu,youtube,netral,dompet digital ada potongan perbulan kaya rekening bank engga mba
"Gw buka vidio ini, Terus lihat komen2an ampe gak sadar pas gw pause nih vidio detik ke 0:12 Si mbak pembicaranya lagi manyun 😂😂😂",5 tahun yang lalu (diedit),youtube,netral,gw buka vidio terus lihat komenan ampe gak sadar pas gw pause nih vidio detik si mbak pembicaranya lagi manyun 😂😂😂
Menurut kalian yg paling terbaik apk apa,5 tahun yang lalu,youtube,netral,menurut kalian yg paling terbaik apk apa
Waah penjelasan nya mantap mudah di pahami. Makasih kak semangat terus ya😇,5 tahun yang lalu,youtube,positif,waah penjelasan nya mantap mudah pahami makasih kak semangat terus ya😇
Bingung dah mua pilih yang mana,5 tahun yang lalu,youtube,netral,bingung dah mua pilih mana
Saya pengguna Ofo hal yang ingin saya tanyakan ada kah dompet digital yang. Terhubung ke layanan paket Netflix kalo Ofo masih belum mohon infonya,5 tahun yang lalu,youtube,netral,pengguna ofo hal ingin tanyakan ada kah dompet digital terhubung layanan paket netflix kalo ofo masih belum mohon infonya
Nggk bisa,5 tahun yang lalu,youtube,netral,nggk bisa
"Mau jawab kak, sebaiknya klo untuk nominal yg besar seperti itu alangkah baiknya ditabung di bank aja, lebih terjaga",4 tahun yang lalu,youtube,netral,mau jawab kak sebaiknya klo nominal yg besar seperti alangkah baiknya ditabung bank aja lebih terjaga
Klo ovo all bank biaya 2500 klo link 4 bank btn bri mandiri bni free biaya yg lain bank 6500,5 tahun yang lalu,youtube,netral,klo ovo all bank biaya klo link bank btn bri mandiri bni free biaya yg lain bank
Daftar BRI link aja kak,5 tahun yang lalu,youtube,netral,daftar bri link aja kak
"Yg plg mudah mobile banking,tpi kl jual pulsa, menurutku ovo yg bonusnya menarik.",4 tahun yang lalu,youtube,positif,yg plg mudah mobile bankingtpi kl jual pulsa menurutku ovo yg bonusnya menarik
"Ada biaya admin, kecuali top up melalui gojek",5 tahun yang lalu,youtube,positif,ada biaya admin kecuali top up melalui gojek
Eror bro.,5 tahun yang lalu,youtube,netral,eror bro
Gdk,5 tahun yang lalu,youtube,netral,gdk
Jadinya gmna kk,5 tahun yang lalu,youtube,netral,jadinya gmna kk
Tajir juga wkwk,5 tahun yang lalu,youtube,netral,tajir wkwk
Jangan Di dana Respon Lemot akun Saya Dibekukan Uangku kan juga hilang Didalamnya,5 tahun yang lalu,youtube,negatif,jangan dana respon lemot akun dibekukan uangku kan hilang didalamnya
" @adityaramadandi4  apk dana ngisi pulsa suka pending, bagusan link aja super cepat",4 tahun yang lalu,youtube,positif,apk dana ngisi pulsa suka pending bagusan link aja super cepat
 @adityaramadandi4  kok bisa beku?,4 tahun yang lalu,youtube,netral,kok bisa beku
Karena top-up nya gratis kan gan? 😁,5 tahun yang lalu,youtube,netral,topup nya gratis kan gan 😁
"Kalo ke Alfa cuma top-up gk beli apa"" malu"" Giman haha",5 tahun yang lalu,youtube,netral,kalo alfa cuma topup gk beli apa malu giman haha
linkaja engga banget deh upgrade fullservice nya dipersulit terus,4 tahun yang lalu,youtube,netral,linkaja engga banget deh upgrade fullservice nya dipersulit terus
" @achmedruslaninyoman4554  ah saya cepet, pake ktp sma selfi di tempat terang",4 tahun yang lalu,youtube,netral,ah cepet pake ktp sma selfi tempat terang
dana apkasi trjelek,4 tahun yang lalu,youtube,netral,dana apkasi trjelek
Nggak,5 tahun yang lalu,youtube,netral,nggak
Tergantung promonya.,5 tahun yang lalu,youtube,netral,tergantung promonya
Suaranya jelas 👍🏾,3 tahun yang lalu,youtube,netral,suaranya jelas 👍🏾
gabisa bang netflix cuma bisa dibayar pake cc berlogo visa mastercard dan amex,5 tahun yang lalu,youtube,netral,gabisa bang netflix cuma bisa dibayar pake cc berlogo visa mastercard amex
"Transfer ke bank lewat ovo udh ga gratis :""",5 tahun yang lalu,youtube,netral,transfer bank lewat ovo udh ga gratis
Apa uang di jamain keamanan di aplakasi ini,5 tahun yang lalu,youtube,netral,apa uang jamain keamanan aplakasi
Review d save Danamon donk,5 tahun yang lalu,youtube,netral,review d save danamon donk
Masa kalo pakai app dana pz daftar 1 KTP 1 nomor HP gak bisa gonta ganti nomor HP sedangkan Linkaja 1 KTP bisa ganti nomor HP,5 tahun yang lalu,youtube,netral,masa kalo pakai app dana pz daftar ktp nomor hp gak bisa gonta ganti nomor hp sedangkan linkaja ktp bisa ganti nomor hp
Ane install semua dana gopay ovo link aja,5 tahun yang lalu,youtube,netral,ane install semua dana gopay ovo link aja
Gua instal semuanya ... Tapi DANA is the best sekarang,5 tahun yang lalu,youtube,netral,gua instal semuanya tapi dana is the best sekarang
Mnurut baq pake dompet digital yg mana lbih bgus utuk daerah di luar kota??,5 tahun yang lalu,youtube,netral,mnurut baq pake dompet digital yg mana lbih bgus utuk daerah luar kota
Alhamdulillah mbak saya pake semua tapi saldo 0 idr 🤣,5 tahun yang lalu,youtube,netral,alhamdulillah mbak pake semua tapi saldo idr 🤣
"Harga pulsa di link aja lbh murah dr pd ovo
LA pulsa 10 = 7000an
Ovo pulsa 10 = 11000an",5 tahun yang lalu,youtube,netral,harga pulsa link aja lbh murah dr pd ovo la pulsa an ovo pulsa an
sy agen brilink..mau apa seorang agen bank tertentu tidak boleh jadi agen bank lain..mohon pencerahan.,5 tahun yang lalu,youtube,netral,sy agen brilinkmau apa seorang agen bank tertentu tidak boleh agen bank lainmohon pencerahan
tenya dong utk dompet digital yg terhubung dg akun payoner apa ya bgsnya? sy gajian dr bigolive withdraw ke payoner baru tf ke bank.. bingung milih dompet digital yg mna 😔,5 tahun yang lalu,youtube,netral,tenya dong utk dompet digital yg terhubung dg akun payoner apa ya bgsnya sy gajian dr bigolive withdraw payoner baru tf bank bingung milih dompet digital yg mna 😔
"Luar biasa penjelasannya mbake sangat jelas, yang menerangkan rekomendasi
dompet digital terbaik dinegeri ini",5 tahun yang lalu,youtube,netral,luar biasa penjelasannya mbake sangat jelas menerangkan rekomendasi dompet digital terbaik dinegeri
"Njirrrr,kayak nonton berita",5 tahun yang lalu,youtube,netral,njirrrrkayak nonton berita
Mengayakan orang yang kaya..,5 tahun yang lalu,youtube,netral,mengayakan orang kaya
Gimana sih cara isi saldo ovo dr luar negri..kira2 bisa gak isi saldo ovo dr luar negri,5 tahun yang lalu,youtube,netral,gimana sih cara isi saldo ovo dr luar negrikira bisa gak isi saldo ovo dr luar negri
SITUS GRATIS PERTAMBANGAN BARU !!! Faucet dan perjudian Bitcoin: https://btcmaker.io/?ref=Cliffordhunt,5 tahun yang lalu,youtube,netral,situs gratis pertambangan baru faucet perjudian bitcoin
Jd menurut kk bgsnya pakai yg mna kak,5 tahun yang lalu,youtube,netral,jd menurut kk bgsnya pakai yg mna kak
Semua gw install.. Tapi paling mantul di Dana,5 tahun yang lalu,youtube,positif,semua gw install tapi paling mantul dana
"Kelemahan OVO, Customer Service nya sangat tdk satisfies. Bisa dijawab 2 hari kemudian. Mau ganti nomor HP saja ribetnya minta ampun dan sangat nyebelin",5 tahun yang lalu,youtube,netral,kelemahan ovo customer service nya sangat tdk satisfies bisa dijawab hari kemudian mau ganti nomor hp saja ribetnya minta ampun sangat nyebelin
Ovo yang terburuk,5 tahun yang lalu,youtube,netral,ovo terburuk
Biayanya berapa?,5 tahun yang lalu,youtube,netral,biayanya berapa
Rawan disalahgunakan..,4 tahun yang lalu,youtube,netral,rawan disalahgunakan
Alasannya apa bang.,5 tahun yang lalu,youtube,netral,alasannya apa bang
" @sardent2904  dana gratis TF 10x ke bank minimal 50rb, bisa top up dan tarik uang di minimarket, aplikasi bagus, top up gratis. Yang mirip sekarang sih shopeepay, cuma shopeepay aplikasinya digabung sama shopee.",5 tahun yang lalu,youtube,positif,dana gratis tf x bank minimal rb bisa top up tarik uang minimarket aplikasi bagus top up gratis mirip sekarang sih shopeepay cuma shopeepay aplikasinya digabung sama shopee
dana,2 tahun yang lalu,youtube,netral,dana
Maksudnya apa ya?,5 tahun yang lalu,youtube,netral,maksudnya apa ya
" @dadanridwan7789  Empat2nya pake tapi saldonya kosong, ah gitu aja mesti dijelasin",5 tahun yang lalu,youtube,netral,empatnya pake tapi saldonya kosong ah gitu aja mesti dijelasin
"wkwkwkwk, semua promo ada waktunya bang",5 tahun yang lalu,youtube,netral,wkwkwkwk semua promo ada waktunya bang
"karena anda sudah menandarangani kontrak, jadi hidup anda sudah di rampas diam2 wkwkwkwk",5 tahun yang lalu,youtube,netral,anda sudah menandarangani kontrak hidup anda sudah rampas diam wkwkwkwk
Linkaja mba,5 tahun yang lalu,youtube,netral,linkaja mba
"i guess Im randomly asking but does anybody know a way to get back into an Instagram account..?
I was dumb lost my password. I love any tips you can give me!",4 tahun yang lalu,youtube,netral,i guess im randomly asking but does anybody know a way to get back into an instagram account i was dumb lost my password i love any tips you can give me
"Bisa, gunakan mobile banking",5 tahun yang lalu,youtube,netral,bisa gunakan mobile banking
Maksud saya dr luar negri malaysia mbk...saya tidak punya akun bank indonesia..caranya gimana tu,5 tahun yang lalu,youtube,netral,maksud dr luar negri malaysia mbksaya tidak punya akun bank indonesiacaranya gimana tu
" @regalshooting8772  kalau di malaysia sepertinya bisa via bank Maybank atau DBS.
Caranya seperti apa?
Ini ada tutorialnya langsung dari website ovo nya.
https://www.ovo.id/howtotopup",5 tahun yang lalu,youtube,netral,kalau malaysia sepertinya bisa via bank maybank dbs caranya seperti apa ada tutorialnya langsung website ovo nya
Klo tidak punya ATM gimana kak?,5 tahun yang lalu,youtube,netral,klo tidak punya atm gimana kak
" @regalshooting8772  internet/mobile banking.
Hal yang mengada2 nih nanya nya. Sejak kapan punya rekening tp tdk punya kartu debitnya, klo gk punya pun pasti ada internet banking/mobile banking.
Pertanyaannya jgn buat anda sendiri terlihat seperti orang bodoh.",5 tahun yang lalu,youtube,netral,internetmobile banking hal mengada nih nanya nya sejak kapan punya rekening tp tdk punya kartu debitnya klo gk punya pun pasti ada internet bankingmobile banking pertanyaannya jgn buat anda sendiri terlihat seperti orang bodoh
Maksudnya ATM maybank atau DBS,5 tahun yang lalu,youtube,netral,maksudnya atm maybank dbs
"Waduh kok marah sih...
Sorry deh....saya gk mengada2 kok...emang saya gk paham urusan ewallet..soalnya akun ovo temen saya minta di isi saldonya...saya ada malaysia..saya tidak punya acount bak indonesia..adanya akun bank malaysia...saya tf ke indon pakek mobile banking..bgono...
Sorry klo saya salah n bodoh",5 tahun yang lalu,youtube,netral,waduh kok marah sih sorry dehsaya gk mengada kokemang gk paham urusan ewalletsoalnya akun ovo temen minta isi saldonyasaya ada malaysiasaya tidak punya acount bak indonesiaadanya akun bank malaysiasaya tf indon pakek mobile bankingbgono sorry klo salah n bodoh
banyak cashbacknya ya kak! Terimakasih sudah nonton Fintalk jangan lupa subscribe dan follow akun media sosial instagram dan tiktok di @fintalk.official,5 tahun yang lalu,youtube,netral,banyak cashbacknya ya kak terimakasih sudah nonton fintalk jangan lupa subscribe follow akun media sosial instagram tiktok official
Sudah ada solusinya kak? Terimakasih sudah nonton Fintalk jangan lupa subscribe dan follow akun media sosial instagram dan tiktok di @fintalk.official,5 tahun yang lalu,youtube,netral,sudah ada solusinya kak terimakasih sudah nonton fintalk jangan lupa subscribe follow akun media sosial instagram tiktok official
Terimakasih sudah nonton Fintalk jangan lupa subscribe dan follow akun media sosial instagram dan tiktok di @fintalk.official,5 tahun yang lalu,youtube,netral,terimakasih sudah nonton fintalk jangan lupa subscribe follow akun media sosial instagram tiktok official
njir si pemain iklan gopay pemainnya TOP wkwk,5 tahun yang lalu,youtube,positif,njir si pemain iklan gopay pemainnya top wkwk
Saya baru aktifin link aja...saya rencana nya untuk semacam celengan. Efektif gak sih??,5 tahun yang lalu,youtube,netral,baru aktifin link ajasaya rencana nya semacam celengan efektif gak sih
keren sih ni channel Semangatt teruss kak!!!,5 tahun yang lalu,youtube,positif,keren sih ni channel semangatt teruss kak
"Gua pake ovo,mbak jual pulsa pake dana...",5 tahun yang lalu,youtube,netral,gua pake ovombak jual pulsa pake dana
"Install semua, diisi klo emang butuh aja, tapi paling sering pakai ovo sih 😅",5 tahun yang lalu,youtube,netral,install semua diisi klo emang butuh aja tapi paling sering pakai ovo sih 😅
Rekomendasi aplikasi yg dapat mmbantu transaksi seperti paypall,5 tahun yang lalu,youtube,netral,rekomendasi aplikasi yg dapat mmbantu transaksi seperti paypall
Punya semua dan digunakan sesuai kebutuhan masing2 wkwk,5 tahun yang lalu,youtube,netral,punya semua digunakan sesuai kebutuhan masing wkwk
gw pake linkaja. ovo. gopay. pos giro mobile. cuma gopay usul bisain dong pakai foto profil dp.,5 tahun yang lalu,youtube,netral,gw pake linkaja ovo gopay pos giro mobile cuma gopay usul bisain dong pakai foto profil dp
"Kak,gimana sih cara kerja dompet digital gmana sih,saldonya di isih dulu atau nanti di tagi, kalau di isi dulu saldonya kenapa di situs berita ada tagihan sampai juaan hingga maliaran rupiah kok bisa,bukankah kita harus isi dulu saldonya baru bisa beli tapi kok banyak juga orang yang dapat tagihan?",5 tahun yang lalu,youtube,netral,kakgimana sih cara kerja dompet digital gmana sihsaldonya isih dulu nanti tagi kalau isi dulu saldonya kenapa situs berita ada tagihan sampai juaan hingga maliaran rupiah kok bisabukankah kita harus isi dulu saldonya baru bisa beli tapi kok banyak orang dapat tagihan
Ka kalau ovo nyimpen bisa smpe 10jt gak??,5 tahun yang lalu,youtube,netral,ka kalau ovo nyimpen bisa smpe jt gak
Muhammad,5 tahun yang lalu,youtube,netral,muhammad
"Dompet yg bisa tarik tunai di alfamart itu yg mana ya, perlu dripda naro uang cash di lemari",5 tahun yang lalu,youtube,netral,dompet yg bisa tarik tunai alfamart yg mana ya perlu dripda naro uang cash lemari
"Udah saya subscribe dan like nih...
Kasih saya saran dong mending pake ovo apa dana kalo saran nya bagus saya pantengin nih chanel",5 tahun yang lalu,youtube,positif,udah subscribe like nih kasih saran dong mending pake ovo apa dana kalo saran nya bagus pantengin nih chanel
Untuk DANA maksutnya gratis admin utk 10x transfer setiap bulan atau 10x dari kita dunlut Aplikasi?,5 tahun yang lalu,youtube,netral,dana maksutnya gratis admin utk x transfer setiap bulan x kita dunlut aplikasi
Ini cewek pinter banget sumpah cara penyampaianya.. Aku suka banget banget,5 tahun yang lalu,youtube,netral,cewek pinter banget sumpah cara penyampaianya suka banget banget
Pas mo buka videonya ada iklan gopay 😂,5 tahun yang lalu,youtube,netral,pas mo buka videonya ada iklan gopay 😂
Udah akhir zaman,5 tahun yang lalu,youtube,netral,udah akhir zaman
baru sadar ternyata semua terinstall di HP 🤭🤭🤭,5 tahun yang lalu,youtube,netral,baru sadar ternyata semua terinstall hp 🤭🤭🤭
Cukup DANA sama OVO. Aja,5 tahun yang lalu,youtube,netral,cukup dana sama ovo aja
Kalo nabung di link aja sampe berjuta juta aman ga kak?,5 tahun yang lalu,youtube,positif,kalo nabung link aja sampe berjuta juta aman ga kak
"Yang penting sesuai kebutuhan aman kak! Terimakasih sudah nonton video kita, Kalau kalian punya masukan dan saran untuk materi video selanjutnya bisa isi kolom komentar ini ya. Thanks jangan lupa SUBSCRIBE dan bunyikan LONCENG supaya dapat notifikasi setiap minggu dari kita!",5 tahun yang lalu,youtube,positif,penting sesuai kebutuhan aman kak terimakasih sudah nonton video kita kalau kalian punya masukan saran materi video selanjutnya bisa isi kolom komentar ya thanks jangan lupa subscribe bunyikan lonceng supaya dapat notifikasi setiap minggu kita
siap kak ditunggu.. Terimakasih sudah nonton Fintalk jangan lupa subscribe dan follow akun media sosial instagram dan tiktok di @fintalk.official,5 tahun yang lalu,youtube,netral,siap kak ditunggu terimakasih sudah nonton fintalk jangan lupa subscribe follow akun media sosial instagram tiktok official
"Jangan sampai konsumtif ya kak! Oh iya kita sudah upload video terbaru soal bitcoin, bisa cek video2 terbaru kita kak. Terimakasih sudah nonton fintalk jangan lupa subscribe dan bunyikan lonceng notifikasi!",5 tahun yang lalu,youtube,netral,jangan sampai konsumtif ya kak oh iya kita sudah upload video terbaru soal bitcoin bisa cek video terbaru kita kak terimakasih sudah nonton fintalk jangan lupa subscribe bunyikan lonceng notifikasi
Lagu dangdut,5 tahun yang lalu,youtube,netral,lagu dangdut
"Kalo tagihan gitu biasanya kartu kredit, iyah di top up dulu",5 tahun yang lalu,youtube,positif,kalo tagihan gitu biasanya kartu kredit iyah top up dulu
betul kak di top up dulu ya. Terimakasih sudah nonton Fintalk jangan lupa subscribe dan follow akun media sosial instagram dan tiktok di @fintalk.official,5 tahun yang lalu,youtube,positif,betul kak top up dulu ya terimakasih sudah nonton fintalk jangan lupa subscribe follow akun media sosial instagram tiktok official
Bisa saya udah pakai ovo kak,5 tahun yang lalu,youtube,netral,bisa udah pakai ovo kak
 @HIM_Naufl  ada kendala apa pke ovo ngga?,5 tahun yang lalu,youtube,netral,ada kendala apa pke ovo ngga
Gw belum pernah tu ada trouble atau error selama gw make Dana dari awal rilis sampe skrang :v,5 tahun yang lalu,youtube,negatif,gw belum pernah tu ada trouble error selama gw make dana awal rilis sampe skrang v
" @repalk6984  oke gan, ane si cuma baca di review playstore.. niatnya mau buat dompet, dripda d taro lemari",5 tahun yang lalu,youtube,positif,oke gan ane si cuma baca review playstore niatnya mau buat dompet dripda d taro lemari
 @repalk6984  bisa top up di alfamart jga ?,5 tahun yang lalu,youtube,positif,bisa top up alfamart jga
Nah ini yang gua cari tau juga. Ada gak ya,5 tahun yang lalu,youtube,netral,nah gua cari tau ada gak ya
Pake Dana bisa tarik tunai lewat Alfamart,5 tahun yang lalu,youtube,netral,pake dana bisa tarik tunai lewat alfamart
banyak troble di dana.. uang nyankut,5 tahun yang lalu,youtube,netral,banyak troble dana uang nyankut
Baiknya uangnya di simpen di kartu atm kak jika memang mobilitasnya tinggi. Terimakasih sudah nonton Fintalk jangan lupa subscribe dan follow akun media sosial instagram dan tiktok di @fintalk.official,5 tahun yang lalu,youtube,netral,baiknya uangnya simpen kartu atm kak jika memang mobilitasnya tinggi terimakasih sudah nonton fintalk jangan lupa subscribe follow akun media sosial instagram tiktok official
Linkaja sya pake linkaja ga ada kendala,5 tahun yang lalu,youtube,netral,linkaja sya pake linkaja ga ada kendala
Ovo kak. Terimakasih sudah nonton Fintalk jangan lupa subscribe dan follow akun media sosial instagram dan tiktok di @fintalk.official,5 tahun yang lalu,youtube,netral,ovo kak terimakasih sudah nonton fintalk jangan lupa subscribe follow akun media sosial instagram tiktok official
per bulan kak. Terimakasih sudah nonton Fintalk jangan lupa subscribe dan follow akun media sosial instagram dan tiktok di @fintalk.official,5 tahun yang lalu,youtube,netral,per bulan kak terimakasih sudah nonton fintalk jangan lupa subscribe follow akun media sosial instagram tiktok official
Gw kirain nonton berita CNN anjay,5 tahun yang lalu,youtube,netral,gw kirain nonton berita cnn anjay
 @ilusichannel7015  mau banget punya temen hidup sepertinya,5 tahun yang lalu,youtube,netral,mau banget punya temen hidup sepertinya
Ko bisa,5 tahun yang lalu,youtube,netral,ko bisa
Kan sekarang jaman teknologi bukan jaman batu,5 tahun yang lalu,youtube,netral,kan sekarang jaman teknologi bukan jaman batu
"wah sangat komplit ya kak, jangan lupa diatur pengeluarannya agar tidak konsumtif. Terimakasih feedbacknya kak, Jangan lupa subscribe dan bunyikan lonceng ya kak, Terimakasih sudah nonton channel kita! :)",5 tahun yang lalu,youtube,netral,wah sangat komplit ya kak jangan lupa diatur pengeluarannya agar tidak konsumtif terimakasih feedbacknya kak jangan lupa subscribe bunyikan lonceng ya kak terimakasih sudah nonton channel kita
" @FINTALK  install dompet digital buat transaksi yang ada cashbacknya sih, kalo nggak ya cuma dipakai buat Gojek  Grab sama top up Bibit 😂",5 tahun yang lalu,youtube,positif,install dompet digital buat transaksi ada cashbacknya sih kalo nggak ya cuma dipakai buat gojek grab sama top up bibit 😂
OVO aman ga bro?,5 tahun yang lalu,youtube,positif,ovo aman ga bro
 @Maestro7178  aman gua udh pake 2 tahun,5 tahun yang lalu,youtube,positif,aman gua udh pake tahun
"tidak disarankan kak, karena kalau menabung di ewallet dikhawatirkan malah jadi konsumtif. Terimakasih feedbacknya kak, Jangan lupa subscribe dan bunyikan lonceng ya kak, Terimakasih sudah nonton channel kita! :)",5 tahun yang lalu,youtube,netral,tidak disarankan kak kalau menabung ewallet dikhawatirkan malah konsumtif terimakasih feedbacknya kak jangan lupa subscribe bunyikan lonceng ya kak terimakasih sudah nonton channel kita
" @FINTALK  kounsumtif ,maksudnya tidak disarankan bagaimana gan? Apakah uang yg kita simpen berjuta juta itu nantinya bakalan hilang😐😮",5 tahun yang lalu,youtube,netral,kounsumtif maksudnya tidak disarankan bagaimana gan apakah uang yg kita simpen berjuta juta nantinya bakalan hilang😐😮
"Paling aman nabung di e-wallet Link aja, krn kalo terjadi apa-apa bisa ajuin komplain offline ke cs via grapari(pasti beres), kalo e-wallet lain hrs online(tau la klo komplain online playanan CSny  kek gmn). Trus kalo nabung hingga saldo dibawah 25 s/d 50jt sangat disarankan di Link aja, karena kalo nabung di bank dgn saldo dibawah 25 jt bakal menyusut sedikit krn dipotong biaya Administrasi bulanan yang jumlahnya lebih besar dari imbalan bunga bank ny. Btw sy sdh lebih 5 thn nyimpan duit di Link aja (sebelum ny adalah TCASH) dan saldo tetap awet tnp pemotongan adm.",5 tahun yang lalu,youtube,positif,paling aman nabung ewallet link aja krn kalo terjadi apaapa bisa ajuin komplain offline cs via graparipasti beres kalo ewallet lain hrs onlinetau la klo komplain online playanan csny kek gmn trus kalo nabung hingga saldo dibawah sd jt sangat disarankan link aja kalo nabung bank dgn saldo dibawah jt bakal menyusut sedikit krn dipotong biaya administrasi bulanan jumlahnya lebih besar imbalan bunga bank ny btw sy sdh lebih thn nyimpan duit link aja sebelum ny adalah tcash saldo tetap awet tnp pemotongan adm
 @hanswilly9370  thanks brow,5 tahun yang lalu,youtube,netral,thanks brow
Pakai Dana bisa transfer ke semua rekening Bank nggak sih?,5 tahun yang lalu,youtube,netral,pakai dana bisa transfer semua rekening bank nggak sih
Cocok ni c kk jdi clon istri gw,5 tahun yang lalu,youtube,netral,cocok ni c kk jdi clon istri gw
Semua dah punya kecuali link aja 😁,5 tahun yang lalu,youtube,netral,semua dah punya kecuali link aja 😁
Kalau cuma untuk menyimpan aja di Ovo oke nggak Kak,5 tahun yang lalu,youtube,positif,kalau cuma menyimpan aja ovo oke nggak kak
Cash lebih baik. Dompet digital top up kena charge. Hahaha... . .,5 tahun yang lalu,youtube,positif,cash lebih baik dompet digital top up kena charge hahaha
"Klo saya, download semua....
Lalu setiap pengen shopping saya lihat diskonnya....hahahahaaa....",5 tahun yang lalu,youtube,netral,klo download semua lalu setiap pengen shopping lihat diskonnyahahahahaaa
Pilih gopay,6 tahun yang lalu,youtube,netral,pilih gopay
Anjiiirrr banyak misss mya ni yang ngomong nya wkwkwkwk buat beli kereta api???,6 tahun yang lalu,youtube,netral,anjiiirrr banyak misss mya ni ngomong nya wkwkwkwk buat beli kereta api
Kakak saya jodoh kakak saya datang dari masa depan:) mwehehe,6 tahun yang lalu,youtube,netral,kakak jodoh kakak datang masa depan mwehehe
SUMPAHHHH kirain nonton berita njir,6 tahun yang lalu,youtube,netral,sumpahhhh kirain nonton berita njir
Kalo ovo sekarang kayak tai  masak masak transfer 2jt ke bank mandiri di potong 50 rb,6 tahun yang lalu,youtube,netral,kalo ovo sekarang kayak tai masak masak transfer jt bank mandiri potong rb
"Gara-gara gencarnya iklan dompet digital di HP,tak terasa sudah terinstall deh 3 aplikasi e wallet.wow",6 tahun yang lalu,youtube,netral,garagara gencarnya iklan dompet digital hptak terasa sudah terinstall deh aplikasi e walletwow
Waduh kalo beli kereta apinya blm sanggup kak...beli tiketnya dulu aja deh aku 😛😁 8:50,6 tahun yang lalu,youtube,netral,waduh kalo beli kereta apinya blm sanggup kakbeli tiketnya dulu aja deh 😛😁
Kak kalo misalnya dana cuma buat menyimpan uang kaya nabung gitu aman gak ya.... please jawab,6 tahun yang lalu,youtube,positif,kak kalo misalnya dana cuma buat menyimpan uang kaya nabung gitu aman gak ya please jawab
